DayCount,TS,TimeStep,1,2,Living,Kitchen,Laundry,Bathroom,ElecFood,ElecVaccuum,ElecIron,ElecDishes,ElecLaundry,ElecPC,ElecTV,ElecMusic,ElecBath,ElecStandby,ElecFridge,ElecLights,Bath,Dishes,Food,Laundry
2,601,10:00,4,4,20.6688,20.6688,0,0,0,0,0,0,0,0,0,0,0,6,0,14.6688,0,0,0,0
2,611,10:10,4,4,20.6688,20.6688,0,0,0,0,0,0,0,0,0,0,0,6,0,14.6688,0,0,0,0
2,621,10:20,4,4,73.6688,73.6688,0,0,0,0,0,0,0,0,0,0,0,6,53,14.6688,0,0,0,0
2,631,10:30,4,4,105.6688,105.6688,0,0,0,0,0,0,0,0,0,0,0,6,85,14.6688,0,0,0,0
2,641,10:40,4,4,852.6688,852.6688,0,0,0,0,800,0,0,0,0,0,0,6,32,14.6688,0,0,0,0
2,651,10:50,4,4,820.6688,820.6688,0,0,0,0,800,0,0,0,0,0,0,6,0,14.6688,0,0,0,0
2,661,11:00,4,4,820.6688,820.6688,0,0,0,0,800,0,0,0,0,0,0,6,0,14.6688,0,0,0,0
2,671,11:10,4,4,873.6688,873.6688,0,0,0,0,800,0,0,0,0,0,0,6,53,14.6688,0,0,0,0
2,681,11:20,4,4,105.6688,105.6688,0,0,0,0,0,0,0,0,0,0,0,6,85,14.6688,0,0,0,0
2,691,11:30,4,4,52.6688,52.6688,0,0,0,0,0,0,0,0,0,0,0,6,32,14.6688,0,0,0,0
2,701,11:40,4,4,20.6688,20.6688,0,0,0,0,0,0,0,0,0,0,0,6,0,14.6688,0,0,0,0
2,711,11:50,4,4,20.6688,20.6688,0,0,0,0,0,0,0,0,0,0,0,6,0,14.6688,0,0,0,0
2,721,12:00,4,4,73.6688,73.6688,0,0,0,0,0,0,0,0,0,0,0,6,53,14.6688,0,0,0,0
2,731,12:10,4,4,105.6688,105.6688,0,0,0,0,0,0,0,0,0,0,0,6,85,14.6688,0,0,0,0
2,741,12:20,4,4,82.6688,82.6688,0,0,0,0,0,0,0,0,0,30,0,6,32,14.6688,0,0,0,0
2,751,12:30,4,4,20.6688,20.6688,0,0,0,0,0,0,0,0,0,0,0,6,0,14.6688,0,0,0,0
2,761,12:40,0,4,15.6,15.6,0,0,0,0,0,0,0,0,0,0,0,6,0,9.6,0,0,0,0
2,771,12:50,0,4,743.6,743.6,0,0,0,0,0,600,0,75,0,0,0,6,53,9.6,0,62.6944,0,0
2,781,13:00,0,4,331.6,331.6,0,0,0,0,0,156,0,75,0,0,0,6,85,9.6,0,62.6944,0,0
2,791,13:10,0,4,167.6,167.6,0,0,0,0,0,45,0,75,0,0,0,6,32,9.6,0,62.6944,0,0
2,801,13:20,0,4,135.6,135.6,0,0,0,0,0,45,0,75,0,0,0,6,0,9.6,0,62.6944,0,0
2,811,13:30,0,4,135.6,135.6,0,0,0,0,0,45,0,75,0,0,0,6,0,9.6,0,62.6944,0,0
2,821,13:40,0,4,299.6,299.6,0,0,0,0,0,156,0,75,0,0,0,6,53,9.6,0,62.6944,0,0
2,831,13:50,0,4,775.6,775.6,0,0,0,0,0,600,0,75,0,0,0,6,85,9.6,0,62.6944,0,0
2,841,14:00,0,0,83,83,0,0,0,0,0,45,0,0,0,0,0,6,32,0,0,62.6944,0,0
2,851,14:10,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,62.6944,0,0
2,861,14:20,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,62.6944,0,0
2,871,14:30,0,0,59,59,0,0,0,0,0,0,0,0,0,0,0,6,53,0,0,62.6944,0,0
